OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-07-01T00:00:00,2021-07-31T23:59:59,Month,2021-07,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,166927,228697,144233,115715,83955
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-07-01T00:00:00,2021-07-31T23:59:59,Month,2021-07,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,199159,245930,170508,135124,94981
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-07-01T00:00:00,2021-07-31T23:59:59,Month,2021-07,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,170576,274284,185359,142576,109893
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-07-01T00:00:00,2021-07-31T23:59:59,Month,2021-07,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,234562,283670,194583,160880,107750
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-07-01T00:00:00,2021-07-31T23:59:59,Month,2021-07,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,209029,258553,178634,145755,89830
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-07-01T00:00:00,2021-07-31T23:59:59,Month,2021-07,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,232823,327573,211678,170901,113806
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-07-01T00:00:00,2021-07-31T23:59:59,Month,2021-07,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,186788,245779,160256,129951,96132
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-06-01T00:00:00,2021-06-30T23:59:59,Month,2021-06,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,205000,270682,181328,147305,104412
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-06-01T00:00:00,2021-06-30T23:59:59,Month,2021-06,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,168266,231481,144459,116330,84741
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-06-01T00:00:00,2021-06-30T23:59:59,Month,2021-06,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,198511,246251,168626,134193,94483
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-06-01T00:00:00,2021-06-30T23:59:59,Month,2021-06,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,172907,278217,187155,144950,111264
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-06-01T00:00:00,2021-06-30T23:59:59,Month,2021-06,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,232762,282779,191790,159253,106618
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-06-01T00:00:00,2021-06-30T23:59:59,Month,2021-06,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,207140,257482,175744,143657,88720
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-06-01T00:00:00,2021-06-30T23:59:59,Month,2021-06,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,233210,329112,210996,171360,113540
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-06-01T00:00:00,2021-06-30T23:59:59,Month,2021-06,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,193552,255792,164914,134390,99424
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-05-01T00:00:00,2021-05-31T23:59:59,Month,2021-05,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,201879,266879,178623,144503,103107
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-05-01T00:00:00,2021-05-31T23:59:59,Month,2021-05,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,169233,232885,145354,116745,85375
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-05-01T00:00:00,2021-05-31T23:59:59,Month,2021-05,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,195493,242558,166040,131946,93421
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-05-01T00:00:00,2021-05-31T23:59:59,Month,2021-05,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,167377,269440,181405,140038,108034
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-05-01T00:00:00,2021-05-31T23:59:59,Month,2021-05,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,228914,278125,188699,156315,105334
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-05-01T00:00:00,2021-05-31T23:59:59,Month,2021-05,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,203759,253359,172871,141049,87718
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-05-01T00:00:00,2021-05-31T23:59:59,Month,2021-05,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,232090,327601,210120,170197,113354
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-05-01T00:00:00,2021-05-31T23:59:59,Month,2021-05,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,188837,249652,160980,130891,97445
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,201093,265986,177648,144007,102889
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,167854,231243,143893,115678,84918
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,192356,238872,163114,129696,92067
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,166088,267256,179732,139103,107390
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,228230,277538,187804,155780,105465
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,203022,252874,171746,140247,87984
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,233830,330115,211472,171590,114321
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-04-01T00:00:00,2021-04-30T23:59:59,Month,2021-04,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,189427,250618,161196,131334,97847
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,199577,264175,176233,142694,102327
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,165575,228245,141914,113888,83854
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,192366,238788,163202,129688,92358
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,162159,260940,175675,135682,104892
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,224635,273167,184826,153149,104545
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,199659,248989,168529,137739,87008
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,235924,333044,213436,173051,115445
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-03-01T00:00:00,2021-03-31T23:59:59,Month,2021-03,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,188497,249358,160446,130665,97620
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,198578,262927,175178,141922,102382
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,164472,226772,140815,113147,83710
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,191331,237428,162188,129134,92320
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,161920,260763,175289,135382,105055
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,225084,273763,185063,153371,105476
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,198531,247734,167266,137001,87150
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,234987,331935,212339,172273,115386
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-02-01T00:00:00,2021-02-28T23:59:59,Month,2021-02,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,185472,245437,157734,128517,96652
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,195998,259606,172780,139959,101560
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,163447,225353,139937,112461,83272
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,192176,238355,162895,129837,93090
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,160645,259065,173967,134138,104381
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,223193,271421,183487,152023,105175
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,193073,240941,162525,133423,84994
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,229735,324724,207467,168260,113156
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2021-01-01T00:00:00,2021-01-31T23:59:59,Month,2021-01,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,180840,239363,153771,125235,94574
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,194971,258265,171832,139265,100975
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,162764,224557,139293,111887,82743
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,188431,233845,159642,127215,91151
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,162331,262261,175737,135458,105490
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,223873,272401,183932,152338,105478
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,194859,243284,163946,134576,85774
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,225899,319582,203941,165279,111207
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-12-01T00:00:00,2020-12-31T23:59:59,Month,2020-12,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,179821,238235,152801,124386,94080
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,191540,253682,169025,136620,99218
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,159436,219871,136576,109556,81077
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,185380,229979,157276,125006,89681
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,159186,257201,172487,132669,103740
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,219085,266457,180215,148969,103336
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,193432,241315,163039,133443,85097
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,221180,312819,199928,161624,108940
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-11-01T00:00:00,2020-11-30T23:59:59,Month,2020-11,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,176972,234385,150545,122372,92495
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,189861,251053,168056,135388,98170
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,159746,219939,137188,109832,81205
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,180761,223895,153817,121909,87471
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,157780,254474,171357,131330,103056
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,217563,264253,179424,147985,102588
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,194533,242122,164585,134228,85586
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,218736,308916,198254,159719,107572
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-11-23T00:00:00,,2020-10-01T00:00:00,2020-10-31T23:59:59,Month,2020-10,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,176264,233085,150338,121957,92012
